Open,High,Low,Close,stochrsi_k,Buy,Sell
2023-10-30 16:30,1801.37,1804.0,1800.81,1802.18,0.92,False,False
2023-10-30 16:45,1802.18,1804.0,1800.46,1801.51,0.98,False,False
2023-10-30 17:00,1801.51,1802.06,1797.8,1799.15,0.84,False,False
2023-10-30 17:15,1799.14,1800.55,1796.63,1797.81,0.63,False,False
2023-10-30 17:30,1797.81,1801.1,1797.09,1799.26,0.55,False,False
2023-10-30 17:45,1799.26,1801.18,1799.11,1800.35,0.63,False,False
2023-10-30 18:00,1800.35,1802.88,1799.23,1799.79,0.74,False,False
2023-10-30 18:15,1799.79,1805.76,1799.78,1804.04,0.85,False,False
2023-10-30 18:30,1804.04,1816.33,1804.03,1813.86,0.9,False,False
2023-10-30 18:45,1813.85,1813.86,1809.73,1811.73,0.94,False,False
2023-10-30 19:00,1811.74,1812.79,1808.41,1808.9,0.82,False,False
2023-10-30 19:15,1808.91,1809.55,1807.27,1808.72,0.69,False,False
2023-10-30 19:30,1808.71,1812.42,1807.74,1811.3,0.66,False,False
2023-10-30 19:45,1811.3,1811.55,1808.6,1809.34,0.63,False,False
2023-10-30 20:00,1809.34,1811.31,1809.12,1810.62,0.62,False,False
2023-10-30 20:15,1810.61,1810.8,1807.94,1808.04,0.49,False,False
2023-10-30 20:30,1808.04,1808.98,1807.03,1807.21,0.31,False,False
2023-10-30 20:45,1807.2,1809.5,1807.05,1809.04,0.19,False,False
2023-10-30 21:00,1809.03,1810.82,1807.32,1810.53,0.25,False,False
2023-10-30 21:15,1810.52,1811.98,1807.71,1810.66,0.47,False,False
2023-10-30 21:30,1810.65,1819.41,1810.65,1818.3,0.73,False,False
2023-10-30 21:45,1818.29,1818.3,1809.77,1812.24,0.64,False,False
2023-10-30 22:00,1812.24,1813.42,1806.92,1807.96,0.41,False,False
2023-10-30 22:15,1807.97,1808.4,1802.4,1808.14,0.09,False,False
2023-10-30 22:30,1808.13,1810.41,1806.67,1810.4,0.07,False,False
2023-10-30 22:45,1810.41,1811.53,1808.61,1811.0,0.16,False,False
2023-10-30 23:00,1810.99,1811.82,1807.03,1808.12,0.15,False,False
2023-10-30 23:15,1808.11,1808.35,1805.59,1807.2,0.08,False,False
2023-10-30 23:30,1807.21,1807.46,1801.94,1802.98,0.0,False,False
2023-10-30 23:45,1802.97,1803.9,1798.35,1803.74,0.02,False,False
2023-10-31 00:00,1803.74,1804.47,1796.91,1797.31,0.02,False,False
2023-10-31 00:15,1797.32,1801.1,1796.54,1800.99,0.15,False,False
2023-10-31 00:30,1800.99,1801.55,1795.24,1796.04,0.16,False,False
2023-10-31 00:45,1796.04,1797.6,1793.74,1795.15,0.18,False,False
2023-10-31 01:00,1795.15,1797.27,1793.06,1797.23,0.15,False,False
2023-10-31 01:15,1797.24,1799.25,1797.23,1799.01,0.32,False,False
2023-10-31 01:30,1799.02,1800.16,1798.5,1798.66,0.53,False,False
2023-10-31 01:45,1798.66,1800.43,1797.94,1799.98,0.77,False,False
2023-10-31 02:00,1799.98,1800.8,1796.27,1798.46,0.81,False,False
2023-10-31 02:15,1798.46,1802.92,1795.77,1801.95,0.93,False,False
2023-10-31 02:30,1801.94,1804.23,1801.31,1802.32,0.93,False,False
2023-10-31 02:45,1802.32,1803.97,1801.19,1801.43,0.96,False,False
2023-10-31 03:00,1801.44,1804.34,1800.25,1804.33,0.96,False,False
2023-10-31 03:15,1804.33,1804.83,1800.04,1800.05,0.77,False,False
2023-10-31 03:30,1800.04,1800.52,1787.0,1799.1,0.54,False,False
2023-10-31 03:45,1799.11,1799.11,1794.0,1795.26,0.2,False,False
2023-10-31 04:00,1795.25,1798.0,1793.78,1797.61,0.17,False,False
2023-10-31 04:15,1797.61,1798.3,1792.43,1792.44,0.11,False,False
2023-10-31 04:30,1792.44,1794.42,1788.11,1793.06,0.14,False,False
2023-10-31 04:45,1793.06,1793.59,1790.02,1790.58,0.03,False,False
2023-10-31 05:00,1790.58,1793.18,1780.99,1793.02,0.12,False,False
2023-10-31 05:15,1793.02,1797.08,1791.92,1796.78,0.32,False,False
2023-10-31 05:30,1796.78,1799.09,1795.86,1796.95,0.65,False,False
2023-10-31 05:45,1796.95,1802.85,1796.85,1801.39,0.89,False,False
2023-10-31 06:00,1801.4,1802.8,1799.69,1801.1,0.99,False,False
2023-10-31 06:15,1801.1,1801.23,1796.55,1798.36,0.89,False,False
2023-10-31 06:30,1798.36,1802.18,1798.35,1801.12,0.87,False,False
2023-10-31 06:45,1801.11,1803.51,1800.0,1802.46,0.88,False,False
2023-10-31 07:00,1802.45,1803.52,1800.2,1800.21,0.91,False,False
2023-10-31 07:15,1800.21,1803.21,1798.92,1800.74,0.85,False,False
2023-10-31 07:30,1800.74,1804.26,1800.51,1802.46,0.82,False,False
2023-10-31 07:45,1802.46,1803.78,1801.19,1801.47,0.78,False,False
2023-10-31 08:00,1801.46,1803.49,1800.41,1801.5,0.71,False,False
2023-10-31 08:15,1801.5,1803.12,1800.14,1802.75,0.73,False,False
2023-10-31 08:30,1802.75,1812.68,1802.75,1807.69,0.85,False,False
2023-10-31 08:45,1807.68,1813.99,1807.68,1809.41,0.99,False,False
2023-10-31 09:00,1809.42,1812.0,1809.41,1811.68,1.0,False,False
2023-10-31 09:15,1811.67,1812.72,1804.0,1804.77,0.69,False,False
2023-10-31 09:30,1804.77,1807.21,1801.89,1803.14,0.35,False,False
2023-10-31 09:45,1803.13,1803.37,1795.6,1798.76,0.02,False,False
2023-10-31 10:00,1798.76,1800.61,1795.7,1798.09,0.0,False,False
2023-10-31 10:15,1798.09,1802.92,1797.61,1802.17,0.09,False,False
2023-10-31 10:30,1802.17,1805.04,1793.01,1796.38,0.09,False,False
2023-10-31 10:45,1796.39,1799.26,1789.0,1793.47,0.09,False,False
2023-10-31 11:00,1793.48,1797.76,1785.92,1796.96,0.07,False,False
2023-10-31 11:15,1796.96,1799.99,1793.54,1794.37,0.1,False,False
2023-10-31 11:30,1794.38,1796.6,1789.32,1796.21,0.24,False,False
2023-10-31 11:45,1796.22,1800.24,1796.21,1799.08,0.49,False,False
2023-10-31 12:00,1799.09,1800.96,1783.92,1791.0,0.49,False,False
2023-10-31 12:15,1791.0,1793.96,1781.36,1791.35,0.4,False,False
2023-10-31 12:30,1791.36,1795.82,1785.45,1787.36,0.08,False,False
2023-10-31 12:45,1787.37,1793.4,1786.36,1791.46,0.23,False,False
2023-10-31 13:00,1791.46,1793.92,1787.73,1792.3,0.38,False,False
2023-10-31 13:15,1792.31,1797.79,1792.3,1797.51,0.72,False,False
2023-10-31 13:30,1797.5,1806.0,1794.05,1802.9,0.88,False,False
2023-10-31 13:45,1802.89,1804.99,1800.59,1803.55,1.0,False,False
2023-10-31 14:00,1803.55,1803.57,1799.33,1800.14,0.92,False,False
2023-10-31 14:15,1800.13,1802.12,1799.13,1800.77,0.85,False,False
2023-10-31 14:30,1800.77,1801.08,1797.64,1800.14,0.77,False,False
2023-10-31 14:45,1800.14,1803.84,1799.06,1801.9,0.8,False,False
2023-10-31 15:00,1801.91,1803.0,1800.31,1800.86,0.76,False,False
2023-10-31 15:15,1800.86,1801.99,1799.71,1800.22,0.7,False,False
2023-10-31 15:30,1800.21,1807.3,1798.91,1804.72,0.75,False,False
2023-10-31 15:45,1804.71,1809.0,1802.77,1808.6,0.85,False,False
2023-10-31 16:00,1808.6,1814.86,1807.7,1808.84,1.0,False,False
2023-10-31 16:15,1808.84,1811.01,1806.17,1810.06,1.0,False,False
2023-10-31 16:30,1810.06,1810.44,1806.3,1807.69,0.85,False,False
2023-10-31 16:45,1807.69,1812.41,1806.55,1811.47,0.82,False,False
2023-10-31 17:00,1811.47,1812.95,1809.2,1811.47,0.8,False,False
2023-10-31 17:15,1811.47,1814.87,1810.16,1811.59,0.92,False,False
2023-10-31 17:30,1811.6,1813.01,1811.05,1812.24,0.95,False,False
2023-10-31 17:45,1812.24,1817.67,1810.89,1813.81,0.98,False,False
2023-10-31 18:00,1813.82,1814.4,1810.0,1811.09,0.67,False,False
2023-10-31 18:15,1811.1,1813.83,1804.08,1807.92,0.33,False,False
2023-10-31 18:30,1807.91,1808.7,1807.01,1807.22,0.0,False,False
2023-10-31 18:45,1807.22,1807.3,1801.97,1806.35,0.0,False,False
2023-10-31 19:00,1806.34,1807.96,1804.71,1807.95,0.06,False,False
2023-10-31 19:15,1807.96,1809.36,1807.56,1808.95,0.17,False,False
2023-10-31 19:30,1808.95,1813.46,1807.46,1812.29,0.38,False,False
2023-10-31 19:45,1812.28,1813.34,1808.95,1809.02,0.39,False,False
2023-10-31 20:00,1809.03,1811.3,1807.47,1809.5,0.37,False,False
2023-10-31 20:15,1809.5,1810.8,1809.09,1810.79,0.37,False,False
2023-10-31 20:30,1810.8,1813.51,1810.1,1812.61,0.6,False,False
2023-10-31 20:45,1812.62,1816.61,1811.49,1814.67,0.84,False,False
2023-10-31 21:00,1814.67,1816.64,1811.84,1814.29,0.94,False,False
2023-10-31 21:15,1814.29,1825.0,1814.29,1819.75,0.97,False,False
2023-10-31 21:30,1819.75,1829.0,1819.46,1820.85,0.97,False,False
2023-10-31 21:45,1820.85,1824.91,1817.04,1817.92,0.84,False,False
2023-10-31 22:00,1817.92,1819.22,1814.08,1817.04,0.64,False,False
2023-10-31 22:15,1817.04,1817.35,1813.65,1817.26,0.43,False,False
2023-10-31 22:30,1817.25,1818.31,1812.84,1814.86,0.26,False,False
2023-10-31 22:45,1814.85,1814.86,1811.16,1812.84,0.13,False,False
2023-10-31 23:00,1812.83,1813.07,1808.34,1813.06,0.01,False,False
2023-10-31 23:15,1813.05,1813.61,1810.2,1811.45,0.01,False,False
2023-10-31 23:30,1811.44,1812.96,1811.05,1811.05,0.01,False,False
2023-10-31 23:45,1811.06,1812.23,1809.3,1810.81,0.0,False,False
2023-11-01 00:00,1810.81,1812.03,1807.68,1809.51,0.0,False,False
2023-11-01 00:15,1809.5,1812.19,1808.01,1809.92,0.03,False,False
2023-11-01 00:30,1809.92,1811.75,1809.12,1811.2,0.14,False,False
2023-11-01 00:45,1811.21,1811.72,1809.73,1809.73,0.19,False,False
2023-11-01 01:00,1809.73,1810.06,1808.3,1808.48,0.16,False,False
2023-11-01 01:15,1808.49,1810.11,1808.45,1808.69,0.09,False,False
2023-11-01 01:30,1808.68,1809.82,1808.0,1809.72,0.27,False,False
2023-11-01 01:45,1809.71,1809.72,1806.63,1808.37,0.33,False,False
2023-11-01 02:00,1808.38,1808.38,1804.43,1804.81,0.3,False,False
2023-11-01 02:15,1804.81,1806.1,1803.48,1805.15,0.09,False,False
2023-11-01 02:30,1805.15,1805.21,1800.31,1802.47,0.04,False,False
2023-11-01 02:45,1802.47,1803.51,1800.0,1800.04,0.04,False,False
2023-11-01 03:00,1800.03,1802.36,1797.57,1801.74,0.13,False,False
2023-11-01 03:15,1801.74,1802.36,1798.78,1799.74,0.2,False,False
2023-11-01 03:30,1799.73,1803.1,1798.4,1803.09,0.48,False,False
2023-11-01 03:45,1803.1,1804.08,1802.0,1804.07,0.68,False,False
2023-11-01 04:00,1804.07,1805.72,1802.26,1805.71,0.94,False,False
2023-11-01 04:15,1805.72,1808.3,1805.26,1805.26,0.98,False,False
2023-11-01 04:30,1805.27,1807.56,1802.0,1807.56,0.98,False,False
2023-11-01 04:45,1807.56,1810.0,1803.77,1804.64,0.89,False,False
2023-11-01 05:00,1804.65,1806.0,1802.91,1806.0,0.86,False,False
2023-11-01 05:15,1806.0,1807.8,1803.73,1807.62,0.86,False,False
2023-11-01 05:30,1807.62,1808.27,1806.02,1806.03,0.89,False,False
2023-11-01 05:45,1806.02,1806.03,1804.68,1805.03,0.76,False,False
2023-11-01 06:00,1805.03,1806.04,1802.34,1806.03,0.62,False,False
2023-11-01 06:15,1806.03,1806.04,1803.2,1805.36,0.42,False,False
2023-11-01 06:30,1805.36,1807.4,1803.96,1805.37,0.34,False,False
2023-11-01 06:45,1805.37,1805.57,1802.67,1805.56,0.25,False,False
2023-11-01 07:00,1805.57,1805.87,1803.2,1803.74,0.18,False,False
2023-11-01 07:15,1803.74,1804.0,1800.37,1802.19,0.1,False,False
2023-11-01 07:30,1802.19,1802.19,1797.12,1799.87,0.0,False,False
2023-11-01 07:45,1799.88,1799.88,1792.46,1795.67,0.0,False,False
2023-11-01 08:00,1795.66,1797.2,1793.01,1796.65,0.06,False,False
2023-11-01 08:15,1796.64,1796.65,1792.91,1795.67,0.09,False,False
2023-11-01 08:30,1795.67,1798.63,1795.34,1798.45,0.29,False,False
2023-11-01 08:45,1798.44,1800.8,1795.9,1799.79,0.5,False,False
2023-11-01 09:00,1799.79,1799.9,1796.0,1796.97,0.64,False,False
2023-11-01 09:15,1796.96,1797.79,1793.46,1794.89,0.59,False,False
2023-11-01 09:30,1794.89,1803.91,1794.0,1800.41,0.66,False,False
2023-11-01 09:45,1800.41,1818.0,1800.39,1815.69,0.82,False,False
2023-11-01 10:00,1815.68,1817.38,1810.36,1815.09,0.99,False,False
2023-11-01 10:15,1815.09,1827.58,1805.09,1808.08,0.88,False,False
2023-11-01 10:30,1808.08,1809.05,1794.0,1801.44,0.7,False,False
2023-11-01 10:45,1801.44,1802.42,1794.33,1801.92,0.5,False,False
2023-11-01 11:00,1801.93,1805.75,1800.14,1802.85,0.42,False,False
2023-11-01 11:15,1802.85,1808.23,1801.72,1805.52,0.45,False,False
2023-11-01 11:30,1805.52,1807.35,1803.17,1805.11,0.49,False,False
2023-11-01 11:45,1805.1,1805.58,1783.19,1786.16,0.35,False,False
2023-11-01 12:00,1786.16,1794.24,1785.8,1791.6,0.24,False,False
2023-11-01 12:15,1791.6,1793.94,1790.79,1791.14,0.13,False,False
2023-11-01 12:30,1791.14,1793.74,1787.89,1789.49,0.21,False,False
2023-11-01 12:45,1789.49,1793.62,1787.2,1792.3,0.3,False,False
2023-11-01 13:00,1792.29,1795.65,1791.9,1795.64,0.47,False,False
2023-11-01 13:15,1795.64,1799.73,1794.57,1799.03,0.7,False,False
2023-11-01 13:30,1799.03,1802.5,1793.98,1795.63,0.78,False,False
2023-11-01 13:45,1795.64,1798.16,1794.72,1796.98,0.82,False,False
2023-11-01 14:00,1796.98,1800.81,1796.88,1800.81,0.85,False,False
2023-11-01 14:15,1800.8,1801.16,1797.0,1797.67,0.85,False,False
2023-11-01 14:30,1797.68,1801.0,1794.63,1800.98,0.91,False,False
2023-11-01 14:45,1800.97,1808.95,1799.89,1807.52,0.91,False,False
2023-11-01 15:00,1807.51,1817.77,1803.87,1816.57,1.0,False,False
2023-11-01 15:15,1816.56,1821.02,1812.92,1818.71,1.0,False,False
2023-11-01 15:30,1818.71,1832.72,1806.99,1814.03,0.89,False,False
2023-11-01 15:45,1814.03,1823.91,1809.41,1820.2,0.85,False,False
2023-11-01 16:00,1820.2,1831.6,1817.46,1817.51,0.75,False,False
2023-11-01 16:15,1817.51,1849.0,1817.51,1844.96,0.85,False,False
2023-11-01 16:30,1844.96,1850.59,1829.0,1834.77,0.76,False,False
2023-11-01 16:45,1834.77,1837.28,1825.27,1835.9,0.72,False,False
2023-11-01 17:00,1835.89,1853.84,1835.73,1847.07,0.61,False,False
2023-11-01 17:15,1847.07,1853.0,1842.35,1844.95,0.56,False,False
2023-11-01 17:30,1844.96,1850.0,1840.55,1844.41,0.51,False,False
2023-11-01 17:45,1844.4,1855.0,1838.42,1853.79,0.53,False,False
2023-11-01 18:00,1853.8,1857.66,1839.77,1847.63,0.44,False,False
2023-11-01 18:15,1847.63,1852.2,1846.6,1852.05,0.42,False,False
